"NAME","DESCRIPTION","GENE_SYMBOL","GENE_TITLE","SCORE"
"IL1R2","na","null","null",-1.2435704
"RNF152","na","null","null",-1.2433021
"TRIB1","na","null","null",-1.2399403
"IFITM3","na","null","null",-1.2399259
"HLA-E","na","null","null",-1.2349354
"LOC102724163","na","null","null",-1.2321109
"SOCS1","na","null","null",-1.2303945
"HLA-C","na","null","null",-1.2242157
"APOBEC3G","na","null","null",-1.2225533
"LY6E","na","null","null",-1.2223816
"KCNS3","na","null","null",-1.2215178
"HLA-B","na","null","null",-1.2169812
"GMNC","na","null","null",-1.2168555
"EHD4","na","null","null",-1.2154151
"TRIM38","na","null","null",-1.2153631
"APOL1","na","null","null",-1.2135245
"ATRIP-TREX1","na","null","null",-1.2126611
"AIM2","na","null","null",-1.2090605
"MMP11","na","null","null",-1.2080805
"MTUS2","na","null","null",-1.206863
"RASL11B","na","null","null",-1.2064776
"RNF114","na","null","null",-1.2059586
"PSME2","na","null","null",-1.205872
"CHSY3","na","null","null",-1.2048784
"MSX2","na","null","null",-1.2045563
"TAP2","na","null","null",-1.2036165
"CFAP45","na","null","null",-1.2021534
"DLX5","na","null","null",-1.2008396
"GBP1","na","null","null",-1.1990232
"PIK3R1","na","null","null",-1.1980295
"CMTR1","na","null","null",-1.1966071
"MCUB","na","null","null",-1.1930782
"RSAD2","na","null","null",-1.1924244
"TRIM69","na","null","null",-1.1847678
"HSPH1","na","null","null",-1.1821209
"ERG","na","null","null",-1.1795716
"IFIT1","na","null","null",-1.1789848
"SYTL3","na","null","null",-1.1779305
"FLT3LG","na","null","null",-1.1762912
"PCGF5","na","null","null",-1.1761571
"TMEM171","na","null","null",-1.1757374
"ACKR4","na","null","null",-1.1742367
"CEACAM1","na","null","null",-1.1738567
"SLC25A33","na","null","null",-1.172485
"DCP1A","na","null","null",-1.1702213
"IRAIN","na","null","null",-1.1656128
"KRT6B","na","null","null",-1.1650075
"LGALS3BP","na","null","null",-1.1644307
"ABCB1","na","null","null",-1.1643894
"PRKD2","na","null","null",-1.1632553
"ZFPM2","na","null","null",-1.1622133
"GDNF","na","null","null",-1.1622043
"UNC93B1","na","null","null",-1.1597229
"PNPT1","na","null","null",-1.1593716
"GOLGA6C","na","null","null",-1.1579092
"NFE2L3","na","null","null",-1.1578152
"APOL6","na","null","null",-1.155829
"C1S","na","null","null",-1.1541119
"RARRES3","na","null","null",-1.1524229
"LOC100419583","na","null","null",-1.1517988
"RHEBL1","na","null","null",-1.1515322
"TBX4","na","null","null",-1.1486796
"ZNFX1","na","null","null",-1.1475693
"WNK4","na","null","null",-1.1462873
"CSF1","na","null","null",-1.1459197
"CSRP2","na","null","null",-1.1437683
"BAG3","na","null","null",-1.143284
"TMEM62","na","null","null",-1.1415958
"GTPBP1","na","null","null",-1.1398358
"MXD1","na","null","null",-1.1387002
"LIPG","na","null","null",-1.1383939
"TLE4","na","null","null",-1.1344216
"DUOX2","na","null","null",-1.1321986
"IRF1","na","null","null",-1.1309391
"USF1","na","null","null",-1.1307011
"ENGASE","na","null","null",-1.1273009
"ZC3HAV1","na","null","null",-1.1265926
"LGMN","na","null","null",-1.120495
"NHLH1","na","null","null",-1.1201724
"FOXQ1","na","null","null",-1.1198516
"LINC01671","na","null","null",-1.1187667
"RGS2","na","null","null",-1.1182134
"RNF19B","na","null","null",-1.1172782
"RND3","na","null","null",-1.1164814
"SP6","na","null","null",-1.111399
"NUPR1","na","null","null",-1.1111556
"IL16","na","null","null",-1.1108528
"TRAFD1","na","null","null",-1.1106666
"ETS2","na","null","null",-1.1094825
"FAM122C","na","null","null",-1.1093932
"PGF","na","null","null",-1.1088667
"RNF39","na","null","null",-1.1083199
"CD74","na","null","null",-1.1080917
"GBP3","na","null","null",-1.1076239
"SERPING1","na","null","null",-1.1046277
"IL7R","na","null","null",-1.1016119
"KBTBD8","na","null","null",-1.1014024
"KCNH3","na","null","null",-1.0975667
"POPDC2","na","null","null",-1.0974642
"SIRPB2","na","null","null",-1.0964129
"SIX1","na","null","null",-1.095851
"NUB1","na","null","null",-1.095581
"SYNM","na","null","null",-1.0952533
"TAC3","na","null","null",-1.0951453
"SERPINB9","na","null","null",-1.0950112
"ISG20","na","null","null",-1.094976
"HCAR2","na","null","null",-1.089418
"LIN52","na","null","null",-1.088332
"LRG1","na","null","null",-1.0872616
"CD27-AS1","na","null","null",-1.0826489
"APOBEC3A","na","null","null",-1.0826467
"ITIH4","na","null","null",-1.0818925
"HCG4B","na","null","null",-1.0783719
"PODXL","na","null","null",-1.0783612
"SLFN5","na","null","null",-1.0779936
"DHX58","na","null","null",-1.0766728
"CHIC2","na","null","null",-1.0749286
"INHBA","na","null","null",-1.0748297
"NRP2","na","null","null",-1.074724
"IFI16","na","null","null",-1.0715916
"ZFP36L1","na","null","null",-1.0713444
"NCOA7","na","null","null",-1.0696964
"ODF3B","na","null","null",-1.0694724
"CHN1","na","null","null",-1.0675021
"ITGA10","na","null","null",-1.0669535
"TRIM5","na","null","null",-1.0658873
"B3GNT7","na","null","null",-1.0657665
"LINC00622","na","null","null",-1.0653697
"TRIM26","na","null","null",-1.0612844
"DDX58","na","null","null",-1.0605718
"SIDT1","na","null","null",-1.059665
"SH3KBP1","na","null","null",-1.054943
"SCNN1D","na","null","null",-1.0546253
"SLC25A25","na","null","null",-1.0540851
"NXPH3","na","null","null",-1.0537238
"PPM1K","na","null","null",-1.0536612
"LOC440434","na","null","null",-1.0532067
"PLSCR1","na","null","null",-1.0526997
"CIB2","na","null","null",-1.0524174
"DMRTA2","na","null","null",-1.0520868
"HMGN2P46","na","null","null",-1.0519485
"MARCKSL1","na","null","null",-1.051194
"PSMB8-AS1","na","null","null",-1.0510634
"NCF2","na","null","null",-1.0494072
"RNF115","na","null","null",-1.0488931
"MAP3K14","na","null","null",-1.0480045
"PCDH19","na","null","null",-1.0479456
"PATL1","na","null","null",-1.0471413
"LYN","na","null","null",-1.0466557
"NR4A2","na","null","null",-1.0460799
"BTN2A1","na","null","null",-1.0459449
