"NAME","DESCRIPTION","GENE_SYMBOL","GENE_TITLE","SCORE"
"CXCL8","na","null","null",-2.774259
"INTS6","na","null","null",-2.7671893
"PLEKHA7","na","null","null",-2.7603703
"PNRC1","na","null","null",-2.7569852
"LRIG3","na","null","null",-2.7569273
"BCL10","na","null","null",-2.7560647
"PGF","na","null","null",-2.752186
"LRRC75A","na","null","null",-2.748171
"AIM2","na","null","null",-2.7429035
"NFIL3","na","null","null",-2.7425601
"RARRES3","na","null","null",-2.7348464
"MAP3K14","na","null","null",-2.7251596
"CXCL1","na","null","null",-2.7246306
"NEDD9","na","null","null",-2.7245305
"BOC","na","null","null",-2.724348
"HS3ST3B1","na","null","null",-2.7144237
"KLHL15","na","null","null",-2.7055922
"TRAF1","na","null","null",-2.7054222
"SAV1","na","null","null",-2.703634
"NFKBIA","na","null","null",-2.702238
"PAK3","na","null","null",-2.6992207
"ENPP1","na","null","null",-2.685435
"ZBTB43","na","null","null",-2.6842914
"IRF1","na","null","null",-2.6807666
"EFNA1","na","null","null",-2.6677134
"PRDM8","na","null","null",-2.6645207
"IFRD1","na","null","null",-2.6635988
"VANGL2","na","null","null",-2.6607916
"TNF","na","null","null",-2.653069
"SYNPO2L","na","null","null",-2.6521611
"PCGF5","na","null","null",-2.6509957
"CTSS","na","null","null",-2.650675
"DUSP5","na","null","null",-2.6428745
"IL17C","na","null","null",-2.6400661
"GRIP2","na","null","null",-2.6394668
"RIPOR2","na","null","null",-2.639223
"ARNTL2","na","null","null",-2.6328204
"CPEB4","na","null","null",-2.6245513
"APOL1","na","null","null",-2.624275
"LINC00622","na","null","null",-2.620384
"RIPK1","na","null","null",-2.6172507
"ADGRE2","na","null","null",-2.616037
"ZNF575","na","null","null",-2.6134942
"HLA-V","na","null","null",-2.6071475
"LOC105379152","na","null","null",-2.60676
"PRR5L","na","null","null",-2.6017108
"PRICKLE1","na","null","null",-2.6011832
"RGS2","na","null","null",-2.599591
"RAPGEF2","na","null","null",-2.5995543
"CMPK2","na","null","null",-2.5989046
"LINC02539","na","null","null",-2.5963697
"PPM1K","na","null","null",-2.5893672
"FGF2","na","null","null",-2.5830195
"PTGER2","na","null","null",-2.5807073
"OASL","na","null","null",-2.564338
"TDRD7","na","null","null",-2.563653
"ELOVL7","na","null","null",-2.558747
"NINJ1","na","null","null",-2.5578415
"LINC00158","na","null","null",-2.5536242
"SIX1","na","null","null",-2.5419056
"CDC42EP3","na","null","null",-2.5395703
"CLUHP3","na","null","null",-2.537861
"KCNQ1OT1","na","null","null",-2.5302923
"ARID5B","na","null","null",-2.522471
"SNHG5","na","null","null",-2.5155077
"IDO2","na","null","null",-2.5120928
"DUSP16","na","null","null",-2.4982724
"SMOX","na","null","null",-2.4973083
"CORO6","na","null","null",-2.4944227
"DHX58","na","null","null",-2.493007
"UBD","na","null","null",-2.4898846
"LOC286059","na","null","null",-2.489136
"CD40","na","null","null",-2.4858544
"IL27","na","null","null",-2.4856586
"CXCR4","na","null","null",-2.4837828
"CDKN2AIP","na","null","null",-2.4786277
"B2M","na","null","null",-2.4775004
"GTF2B","na","null","null",-2.4744458
"ZNFX1","na","null","null",-2.4727678
"SPRY2","na","null","null",-2.4632535
"FNDC3A","na","null","null",-2.4616957
"RBM11","na","null","null",-2.4613423
"IL1RN","na","null","null",-2.4600918
"NFKBIZ","na","null","null",-2.4499228
"EDN1","na","null","null",-2.4451504
"HCG4B","na","null","null",-2.437182
"ARHGAP26","na","null","null",-2.4360921
"RGS1","na","null","null",-2.4279833
"DRAM1","na","null","null",-2.423419
"IKBKE","na","null","null",-2.4228506
"LOC440896","na","null","null",-2.4155116
"TEP1","na","null","null",-2.4152608
"EPHA4","na","null","null",-2.4101198
"IKZF1","na","null","null",-2.4085739
"SLC25A25","na","null","null",-2.4024875
"GRAMD2B","na","null","null",-2.4023702
"FEM1C","na","null","null",-2.3998764
"DDX58","na","null","null",-2.3975987
"TYW1B","na","null","null",-2.394854
"IL15","na","null","null",-2.3929782
"AP1S2","na","null","null",-2.3811915
"HLA-H","na","null","null",-2.3804462
"SIRT1","na","null","null",-2.3786342
"TXNIP","na","null","null",-2.378292
"ZFP36L2","na","null","null",-2.3776696
"RNF227","na","null","null",-2.37758
"SOWAHB","na","null","null",-2.377417
"TMC8","na","null","null",-2.376304
"SYNE3","na","null","null",-2.375989
"APOBR","na","null","null",-2.3669212
"FRMD4B","na","null","null",-2.3666043
"ASAP1","na","null","null",-2.365984
"RAET1K","na","null","null",-2.3654742
"SLC8A2","na","null","null",-2.360898
"SIX4","na","null","null",-2.356173
"NR2F1","na","null","null",-2.3505204
"TFPI2","na","null","null",-2.3480666
"HIP1R","na","null","null",-2.3457108
"ALPL","na","null","null",-2.34269
"CCL22","na","null","null",-2.3408692
"TGIF1","na","null","null",-2.3391907
"CD163","na","null","null",-2.3370361
"BAMBI","na","null","null",-2.3350122
"TAP1","na","null","null",-2.3299534
"SERPINB9","na","null","null",-2.3270075
"SLC25A37","na","null","null",-2.3248878
"IFNL1","na","null","null",-2.3245707
"LACTB","na","null","null",-2.3236418
"CHRNA7","na","null","null",-2.3233519
"KIAA1217","na","null","null",-2.321304
"ATF3","na","null","null",-2.3189952
"TRIM69","na","null","null",-2.3159468
"BRCA2","na","null","null",-2.3155391
"ERRFI1","na","null","null",-2.3154469
"WEE1","na","null","null",-2.3152833
"CCL4L1","na","null","null",-2.3151982
"ELF1","na","null","null",-2.314863
"ONECUT2","na","null","null",-2.3114784
"CDKN2B","na","null","null",-2.3089907
"ZNF878","na","null","null",-2.3087654
"FAM83D","na","null","null",-2.3081896
"SPTA1","na","null","null",-2.3080604
"BCL6","na","null","null",-2.3074245
"HSCB","na","null","null",-2.2992604
"GAREM1","na","null","null",-2.2983563
"ZNF460","na","null","null",-2.2934701
"PTGS2","na","null","null",-2.2932305
"TNFRSF9","na","null","null",-2.2879913
"IFIT3","na","null","null",-2.2877085
"EPSTI1","na","null","null",-2.2875116
"NR2F1-AS1","na","null","null",-2.2855096
"REL","na","null","null",-2.2831187
"CD274","na","null","null",-2.2778888
"IRAK2","na","null","null",-2.275086
"HLA-F","na","null","null",-2.2716506
"MAST4","na","null","null",-2.2679262
"RTP4","na","null","null",-2.2623434
"PTGER3","na","null","null",-2.2607124
"SWT1","na","null","null",-2.2525291
"DAPP1","na","null","null",-2.2512631
"NRP2","na","null","null",-2.2502222
"TMEM62","na","null","null",-2.2492878
"BCL2A1","na","null","null",-2.2481267
"ALAS1","na","null","null",-2.2464855
"IGFBP6","na","null","null",-2.2461596
"SERTAD2","na","null","null",-2.2448997
"ANTXR2","na","null","null",-2.2384727
"DCP1A","na","null","null",-2.2345183
"COL8A1","na","null","null",-2.2316797
"ISG15","na","null","null",-2.2314723
"LIPG","na","null","null",-2.224148
"PPP1R15A","na","null","null",-2.2226865
"NFKBIE","na","null","null",-2.2084403
"TOB1","na","null","null",-2.2068713
"ZNF799","na","null","null",-2.2026708
"TNFSF9","na","null","null",-2.1925247
"RCAN1","na","null","null",-2.1862395
"PRICKLE4","na","null","null",-2.1858435
"IFNL3","na","null","null",-2.1839156
"CFLAR","na","null","null",-2.1816807
"RYBP","na","null","null",-2.1789687
"CFB","na","null","null",-2.178547
"MARCKSL1","na","null","null",-2.1736553
"RASEF","na","null","null",-2.1728373
"TNFRSF10B","na","null","null",-2.1667852
"RPS6KC1","na","null","null",-2.1636305
"RASL11A","na","null","null",-2.157899
"USP18","na","null","null",-2.157412
"ARSJ","na","null","null",-2.1566148
"RNF2","na","null","null",-2.154006
"C3orf58","na","null","null",-2.1528635
"SATB2","na","null","null",-2.1524048
"CSAG3","na","null","null",-2.1452026
"HIST1H2BD","na","null","null",-2.1441176
"PON3","na","null","null",-2.138319
"PAOX","na","null","null",-2.1362228
"EPC1","na","null","null",-2.1334026
"PCDH17","na","null","null",-2.1301801
"SRD5A3-AS1","na","null","null",-2.129652
"SECTM1","na","null","null",-2.1294014
"IDO1","na","null","null",-2.1290617
"XXYLT1-AS2","na","null","null",-2.12496
"GCNA","na","null","null",-2.1228352
"CREB5","na","null","null",-2.113482
"CREB1","na","null","null",-2.112059
"SELE","na","null","null",-2.1118617
"LOC100419583","na","null","null",-2.1114166
"TEC","na","null","null",-2.1098714
"TMEM106A","na","null","null",-2.1080213
"CCL4L2","na","null","null",-2.1007307
"SEMA3A","na","null","null",-2.094974
"KYNU","na","null","null",-2.0929644
"ARHGEF38","na","null","null",-2.089316
"TNXB","na","null","null",-2.0854893
"PLSCR1","na","null","null",-2.0828843
"TRIM38","na","null","null",-2.0787446
"XBP1","na","null","null",-2.0742526
"LINC01127","na","null","null",-2.0716312
"RSRC2","na","null","null",-2.067841
"GPBP1","na","null","null",-2.0666044
"LOC102723649","na","null","null",-2.0600295
"MTHFD2","na","null","null",-2.058825
"FNIP2","na","null","null",-2.058095
"SLC5A1","na","null","null",-2.0543258
"SLC31A2","na","null","null",-2.047517
"DNAJB4","na","null","null",-2.0473294
"SLIT2","na","null","null",-2.0472677
"C1QTNF1","na","null","null",-2.046147
"SMARCA5","na","null","null",-2.0442936
"TENT2","na","null","null",-2.0439944
"TIMP3","na","null","null",-2.041444
"CYP3A5","na","null","null",-2.0381973
"SLC19A2","na","null","null",-2.0379076
"SYS1","na","null","null",-2.0315664
"IFNL4","na","null","null",-2.0308223
"BAZ1A","na","null","null",-2.0303712
"SOX11","na","null","null",-2.0287619
"BTG1","na","null","null",-2.0273018
"ETS1","na","null","null",-2.0243616
"KCNV1","na","null","null",-2.0226848
"ARSI","na","null","null",-2.0220306
"ERVFRD-1","na","null","null",-2.0194087
"MAP3K8","na","null","null",-2.0187764
"BTG2","na","null","null",-2.0154345
"CPEB3","na","null","null",-2.0144527
"SDCBP","na","null","null",-2.014201
"PRDM6","na","null","null",-2.0139627
"HIST2H2AA4","na","null","null",-2.0135107
"NUDT6","na","null","null",-2.0122705
"HIST2H2AA3","na","null","null",-2.0105798
"ZFPM2","na","null","null",-2.0104764
"KDM2A","na","null","null",-2.010251
"NMRAL2P","na","null","null",-2.0079143
"IL1B","na","null","null",-2.0072134
"PATL1","na","null","null",-2.0062432
"TMX4","na","null","null",-2.0053575
